Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
Sonoma,302302,453456,FALSE,38.49726124,-122.7446667,256,437,32,305,181,224,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,130340,447453,TRUE,38.49726353,-122.7449702,-1,-1,114,303,279,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,243615,334106,TRUE,38.49726391,-122.7452706,665,1001,315,302,336,350,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,271805,544361,TRUE,38.49710059,-122.7455689,239,430,48,301,191,191,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,144828,337881,TRUE,38.49610258,-122.7466004,205,359,14,295,154,191,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,136132,196647,TRUE,38.49586236,-122.7462832,-1,-1,32,291,142,-1,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,181087,276788,TRUE,38.49596362,-122.7459663,523,727,125,292,204,398,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,179903,191028,FALSE,38.4961897,-122.7457241,1049,1339,234,298,290,815,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,20795,102091,TRUE,38.49669456,-122.7453773,462,853,283,301,391,179,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,321935,524125,FALSE,38.49675931,-122.7440068,491,679,58,308,188,433,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,141090,293897,TRUE,38.49604809,-122.7438618,380,506,107,300,126,273,1,1.158201985,1940,Post1940,RES1,2,TRUE,1275,Average,163215.9375
Sonoma,62454,234133,FALSE,38.49582546,-122.7436284,440,647,76,300,207,364,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,289494,608034,FALSE,38.49728968,-122.7437266,418,811,168,309,393,250,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,270511,405713,TRUE,38.49700865,-122.7435589,541,758,-1,309,217,-1,1,1.158201985,1940,Post1940,RES1,2,TRUE,1275,Custom,218885.625
Sonoma,272316,429087,TRUE,38.49670553,-122.7434708,589,848,128,309,259,461,1,1.158201985,1950,Post1940,RES1,1,TRUE,1275,Average,159196.5
Sonoma,248758,400480,FALSE,38.49635831,-122.7434724,505,693,64,310,188,441,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,153000,255000,TRUE,38.49863664,-122.7495271,587,1031,280,294,444,307,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,110373,191698,TRUE,38.50044254,-122.7484145,624,861,127,305,237,497,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,208812,515248,TRUE,38.50035279,-122.7481372,311,856,91,305,545,220,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,285570,546875,FALSE,38.50027738,-122.7479018,627,861,138,305,234,489,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,296725,444868,FALSE,38.50020123,-122.7476658,635,868,139,305,233,496,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
